"Plot Title: field"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 2252215, SEN S/N: 2226787)","Water Content, m³/m³ (LGR S/N: 2252215, SEN S/N: 2241185)","Temp, °C (LGR S/N: 2252215, SEN S/N: 10785045)","RH, % (LGR S/N: 2252215, SEN S/N: 10785045)"
1,01/08/16 12:00:00,-0.171,0.0744,4.506,79.400
2,01/08/16 13:00:00,-0.143,0.0736,4.480,76.400
3,01/08/16 14:00:00,-0.143,0.0744,3.538,75.000
4,01/08/16 15:00:00,-0.116,0.0758,3.274,83.400
5,01/08/16 16:00:00,-0.116,0.0758,2.823,85.900
6,01/08/16 17:00:00,-0.088,0.0773,2.370,82.600
7,01/08/16 18:00:00,-0.088,0.0780,1.859,81.900
8,01/08/16 19:00:00,-0.088,0.0795,1.967,83.200
9,01/08/16 20:00:00,-0.088,0.0874,1.940,86.500
10,01/08/16 21:00:00,-0.088,0.0933,1.180,92.600
11,01/08/16 22:00:00,-0.060,0.0947,1.344,95.500
12,01/08/16 23:00:00,-0.060,0.0969,1.805,97.400
13,01/09/16 00:00:00,-0.060,0.0991,2.370,98.500
14,01/09/16 01:00:00,-0.060,0.1005,2.450,99.100
15,01/09/16 02:00:00,-0.060,0.1020,2.450,99.500
16,01/09/16 03:00:00,-0.060,0.1034,2.770,99.700
17,01/09/16 04:00:00,-0.060,0.1042,3.670,99.900
18,01/09/16 05:00:00,-0.060,0.1056,4.194,100.000
19,01/09/16 06:00:00,-0.060,0.1085,4.298,100.000
20,01/09/16 07:00:00,-0.032,0.1136,4.921,100.000
21,01/09/16 08:00:00,-0.032,0.1245,5.334,100.000
22,01/09/16 09:00:00,-0.032,0.1252,6.000,100.000
23,01/09/16 10:00:00,-0.032,0.1274,6.585,100.000
24,01/09/16 11:00:00,-0.032,0.1296,6.788,100.000
25,01/09/16 12:00:00,-0.032,0.1332,7.343,100.000
26,01/09/16 13:00:00,-0.032,0.1361,7.745,99.000
27,01/09/16 14:00:00,-0.032,0.1376,8.295,96.000
28,01/09/16 15:00:00,-0.032,0.1405,8.519,93.700
29,01/09/16 16:00:00,-0.032,0.1441,8.195,91.700
30,01/09/16 17:00:00,-0.032,0.1463,6.204,94.800
31,01/09/16 18:00:00,-0.032,0.1485,4.973,98.200
32,01/09/16 19:00:00,-0.032,0.1506,4.246,99.500
33,01/09/16 20:00:00,-0.032,0.1521,4.636,100.000
34,01/09/16 21:00:00,-0.032,0.1543,4.844,100.000
35,01/09/16 22:00:00,-0.032,0.1564,4.999,100.000
36,01/09/16 23:00:00,-0.032,0.1586,4.818,100.000
37,01/10/16 00:00:00,-0.032,0.1608,4.246,99.600
38,01/10/16 01:00:00,-0.032,0.1630,3.643,99.400
39,01/10/16 02:00:00,-0.032,0.1644,3.775,100.000
40,01/10/16 03:00:00,-0.032,0.1659,4.376,100.000
41,01/10/16 04:00:00,-0.032,0.1717,4.947,100.000
42,01/10/16 05:00:00,-0.032,0.1782,5.050,99.900
43,01/10/16 06:00:00,-0.032,0.1928,5.128,100.000
44,01/10/16 07:00:00,-0.032,0.2509,5.565,100.000
45,01/10/16 08:00:00,-0.032,0.2865,6.077,100.000
46,01/10/16 09:00:00,-0.004,0.2894,5.668,100.000
47,01/10/16 10:00:00,-0.004,0.2886,5.539,100.000
48,01/10/16 11:00:00,-0.004,0.2930,5.591,100.000
49,01/10/16 12:00:00,-0.004,0.2923,5.949,100.000
50,01/10/16 13:00:00,-0.004,0.2850,6.712,100.000
51,01/10/16 14:00:00,-0.004,0.2814,6.661,100.000
52,01/10/16 15:00:00,-0.004,0.2654,1.235,95.900
53,01/10/16 16:00:00,-0.004,0.2676,0.218,94.800
54,01/10/16 17:00:00,-0.004,0.2610,-0.395,89.400
55,01/10/16 18:00:00,-0.004,0.2552,-1.413,83.500
56,01/10/16 19:00:00,-0.004,0.2494,-2.276,81.000
57,01/10/16 20:00:00,-0.004,0.2443,-3.777,84.100
58,01/10/16 21:00:00,-0.004,0.2407,-4.408,88.400
59,01/10/16 22:00:00,-0.004,0.2363,-5.049,91.800
60,01/10/16 23:00:00,-0.004,0.2313,-5.511,79.600
61,01/11/16 00:00:00,-0.004,0.2284,-6.010,85.900
62,01/11/16 01:00:00,-0.004,0.2247,-6.199,74.800
63,01/11/16 02:00:00,-0.004,0.2218,-6.483,76.500
64,01/11/16 03:00:00,-0.004,0.2196,-7.316,72.500
65,01/11/16 04:00:00,-0.004,0.2160,-7.640,69.100
66,01/11/16 05:00:00,-0.004,0.2131,-8.066,68.600
67,01/11/16 06:00:00,-0.004,0.2116,-8.165,78.000
68,01/11/16 07:00:00,-0.004,0.2102,-8.697,91.900
69,01/11/16 08:00:00,-0.004,0.2080,-8.999,86.400
70,01/11/16 09:00:00,-0.004,0.2058,-8.231,81.600
71,01/11/16 10:00:00,-0.004,0.2037,-7.058,75.500
72,01/11/16 11:00:00,-0.004,0.2029,-6.010,70.300
73,01/11/16 12:00:00,-0.004,0.2022,-6.231,67.500
74,01/11/16 13:00:00,-0.004,0.2008,-6.073,64.100
75,01/11/16 14:00:00,-0.004,0.1986,-6.073,63.600
76,01/11/16 15:00:00,-0.004,0.1964,-6.834,62.000
77,01/11/16 16:00:00,-0.004,0.1949,-7.155,60.700
78,01/11/16 17:00:00,-0.004,0.1928,-8.397,60.100
79,01/11/16 18:00:00,-0.004,0.1913,-9.202,63.200
80,01/11/16 19:00:00,-0.004,0.1891,-9.747,67.000
81,01/11/16 20:00:00,-0.004,0.1870,-10.092,68.300
82,01/11/16 21:00:00,-0.004,0.1848,-10.406,70.900
83,01/11/16 22:00:00,-0.004,0.1826,-10.197,72.000
84,01/11/16 23:00:00,-0.004,0.1804,-9.610,73.000
85,01/12/16 00:00:00,-0.004,0.1782,-9.337,73.000
86,01/12/16 01:00:00,-0.004,0.1768,-9.473,74.700
87,01/12/16 02:00:00,-0.004,0.1746,-9.610,77.000
88,01/12/16 03:00:00,-0.004,0.1724,-9.371,83.000
89,01/12/16 04:00:00,-0.004,0.1717,-8.563,87.800
90,01/12/16 05:00:00,-0.004,0.1710,-7.804,90.300
91,01/12/16 06:00:00,-0.004,0.1710,-4.499,93.600
92,01/12/16 07:00:00,-0.004,0.1717,-3.598,95.200
93,01/12/16 08:00:00,-0.004,0.1724,-2.654,96.700
94,01/12/16 09:00:00,-0.004,0.1717,-2.276,96.800
95,01/12/16 10:00:00,-0.004,0.1753,-1.213,89.700
96,01/12/16 11:00:00,-0.004,0.1732,-1.641,87.100
97,01/12/16 12:00:00,-0.004,0.1732,-2.830,87.800
98,01/12/16 13:00:00,-0.004,0.1724,-3.124,90.700
99,01/12/16 14:00:00,-0.004,0.1724,-4.408,91.500
100,01/12/16 15:00:00,-0.004,0.1717,-4.834,84.500
101,01/12/16 16:00:00,-0.004,0.1688,-6.010,74.400
102,01/12/16 17:00:00,-0.004,0.1673,-6.834,74.900
103,01/12/16 18:00:00,-0.004,0.1659,-7.413,85.000
104,01/12/16 19:00:00,-0.004,0.1652,-5.729,92.000
105,01/12/16 20:00:00,-0.004,0.1623,-5.885,82.800
106,01/12/16 21:00:00,-0.004,0.1608,-6.388,82.100
107,01/12/16 22:00:00,-0.004,0.1594,-6.262,78.400
108,01/12/16 23:00:00,-0.004,0.1579,-7.445,87.100
109,01/13/16 00:00:00,-0.004,0.1550,-8.165,78.500
110,01/13/16 01:00:00,-0.004,0.1521,-8.697,74.300
111,01/13/16 02:00:00,-0.032,0.1485,-9.134,72.800
112,01/13/16 03:00:00,-0.032,0.1456,-9.269,74.400
113,01/13/16 04:00:00,-0.032,0.1419,-9.508,77.300
114,01/13/16 05:00:00,-0.032,0.1397,-9.508,80.500
115,01/13/16 06:00:00,-0.060,0.1368,-8.965,84.700
116,01/13/16 07:00:00,-0.060,0.1354,-9.303,91.500
117,01/13/16 08:00:00,-0.060,0.1332,-9.235,89.100
118,01/13/16 09:00:00,-0.060,0.1310,-8.697,85.600
119,01/13/16 10:00:00,-0.060,0.1281,-7.284,77.700
120,01/13/16 11:00:00,-0.088,0.1259,-6.420,72.500
