"Plot Title: pond"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 2252217, SEN S/N: 2226785, LBL: air_temp)","Water Content, m³/m³ (LGR S/N: 2252217, SEN S/N: 9866284, LBL: wc_soil)","Temp, °C (LGR S/N: 2252217, SEN S/N: 10197815, LBL: temp_c)","RH, % (LGR S/N: 2252217, SEN S/N: 10197815, LBL: rh)"
1,01/09/16 16:00:00,-0.004,0.2923,7.945,95.400
2,01/09/16 17:00:00,0.024,0.2894,5.308,95.400
3,01/09/16 18:00:00,0.024,0.2872,3.538,96.300
4,01/09/16 19:00:00,0.024,0.2843,2.450,97.100
5,01/09/16 20:00:00,0.024,0.2828,3.274,97.700
6,01/09/16 21:00:00,0.024,0.2814,3.696,98.100
7,01/09/16 22:00:00,0.024,0.2806,4.037,98.400
8,01/09/16 23:00:00,0.024,0.2806,4.688,98.600
9,01/10/16 00:00:00,0.024,0.2799,4.272,98.700
10,01/10/16 01:00:00,0.024,0.2799,3.827,98.900
11,01/10/16 02:00:00,0.051,0.2792,2.182,99.000
12,01/10/16 03:00:00,0.024,0.2785,4.063,99.200
13,01/10/16 04:00:00,0.024,0.2806,4.610,99.200
14,01/10/16 05:00:00,0.024,0.2923,4.973,99.200
15,01/10/16 06:00:00,0.024,0.3032,5.282,99.300
16,01/10/16 07:00:00,0.024,0.3191,6.000,99.300
17,01/10/16 08:00:00,0.024,0.4078,6.281,99.400
18,01/10/16 09:00:00,0.024,0.4187,5.539,99.500
19,01/10/16 10:00:00,0.024,0.3976,5.360,99.600
20,01/10/16 11:00:00,0.024,0.4121,5.462,99.700
21,01/10/16 12:00:00,0.024,0.3918,5.821,99.700
22,01/10/16 13:00:00,0.024,0.3700,6.408,99.800
23,01/10/16 14:00:00,0.024,0.3533,6.636,99.700
24,01/10/16 15:00:00,0.051,0.3300,1.480,99.800
25,01/10/16 16:00:00,0.051,0.3257,0.273,99.100
26,01/10/16 17:00:00,0.051,0.3199,-0.395,94.000
27,01/10/16 18:00:00,0.051,0.3126,-1.356,86.600
28,01/10/16 19:00:00,0.051,0.3082,-2.218,83.100
29,01/10/16 20:00:00,0.051,0.3039,-3.627,83.100
30,01/10/16 21:00:00,0.051,0.3003,-4.227,87.900
31,01/10/16 22:00:00,0.051,0.2981,-4.926,88.800
32,01/10/16 23:00:00,0.051,0.2944,-5.357,81.300
33,01/11/16 00:00:00,0.051,0.2923,-5.885,82.400
34,01/11/16 01:00:00,0.051,0.2908,-6.073,76.500
35,01/11/16 02:00:00,0.051,0.2886,-6.388,77.400
36,01/11/16 03:00:00,0.051,0.2865,-7.155,75.200
37,01/11/16 04:00:00,0.051,0.2850,-7.543,72.600
