"Plot Title: field"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 2252215, SEN S/N: 2226787)","Water Content, m³/m³ (LGR S/N: 2252215, SEN S/N: 2241185)","Voltage, V (LGR S/N: 2252215, SEN S/N: 2241274)","Current, mA (LGR S/N: 2252215, SEN S/N: 2241274)","Batt, V (LGR S/N: 2252215)"
1,06/26/15 12:00:00,18.985,0.0686,-0.1988,0.0000,4.080
2,06/26/15 13:00:00,19.151,0.0671,-0.1988,0.0000,4.092
3,06/26/15 14:00:00,19.413,0.0678,-0.1988,0.0000,4.092
4,06/26/15 15:00:00,19.627,0.0628,-0.1988,0.0000,4.092
5,06/26/15 16:00:00,19.746,0.0613,-0.1988,0.0000,4.092
6,06/26/15 17:00:00,19.698,0.0598,-0.1988,0.0000,4.092
7,06/26/15 18:00:00,19.579,0.0591,-0.1988,0.0000,4.092
8,06/26/15 19:00:00,19.389,0.0591,-0.1988,0.0000,4.092
9,06/26/15 20:00:00,19.103,0.0591,-0.1988,0.0000,4.092
10,06/26/15 21:00:00,18.675,0.0591,-0.1988,0.0000,4.092
11,06/26/15 22:00:00,18.224,0.0598,-0.1988,0.0000,4.092
12,06/26/15 23:00:00,17.867,0.0598,-0.1988,0.0000,4.092
13,06/27/15 00:00:00,17.582,0.0598,-0.1988,0.0000,4.092
14,06/27/15 01:00:00,17.344,0.0598,-0.1988,0.0000,4.092
15,06/27/15 02:00:00,17.153,0.0598,-0.1988,0.0000,4.092
16,06/27/15 03:00:00,16.987,0.0606,-0.1988,0.0000,4.092
17,06/27/15 04:00:00,16.820,0.0606,-0.1988,0.0000,4.092
18,06/27/15 05:00:00,16.677,0.0606,-0.1988,0.0000,4.092
19,06/27/15 06:00:00,16.582,0.0606,-0.1988,0.0000,4.092
20,06/27/15 07:00:00,16.582,0.0606,-0.1988,0.0000,4.092
21,06/27/15 08:00:00,16.654,0.0598,-0.1988,0.0000,4.092
22,06/27/15 09:00:00,16.701,0.0598,-0.1988,0.0000,4.092
23,06/27/15 10:00:00,16.820,0.0584,-0.1988,0.0000,4.092
24,06/27/15 11:00:00,16.939,0.0649,-0.1988,0.0000,4.092
25,06/27/15 12:00:00,16.915,0.0671,-0.1988,0.0000,4.092
26,06/27/15 13:00:00,16.820,0.0678,-0.1988,0.0000,4.092
27,06/27/15 14:00:00,16.654,0.0729,-0.1988,0.0000,4.092
28,06/27/15 15:00:00,16.582,0.0933,-0.1988,0.0000,4.092
29,06/27/15 16:00:00,16.558,0.1601,-0.1988,0.0000,4.092
30,06/27/15 17:00:00,16.487,0.1928,-0.1988,0.0000,4.092
31,06/27/15 18:00:00,16.439,0.2066,-0.1988,0.0000,4.092
32,06/27/15 19:00:00,16.392,0.2116,-0.1988,0.0000,4.092
33,06/27/15 20:00:00,16.320,0.2211,-0.1988,0.0000,4.092
34,06/27/15 21:00:00,16.201,0.2363,-0.1988,0.0000,4.092
35,06/27/15 22:00:00,16.010,0.2313,-0.1988,0.0000,4.092
