"Plot Title: forest"
"#","Date Time, GMT-05:00","Water Content, m³/m³ (LGR S/N: 2252216, SEN S/N: 2012386)","Temp, °C (LGR S/N: 2252216, SEN S/N: 2226786)","Temp, °C (LGR S/N: 2252216, SEN S/N: 2229654)","RH, % (LGR S/N: 2252216, SEN S/N: 2229654)"
1,06/26/15 13:00:00,0.0497,16.082,20.650,61.500
2,06/26/15 14:00:00,0.0497,16.129,21.079,60.800
3,06/26/15 15:00:00,0.0490,16.201,21.032,57.200
4,06/26/15 16:00:00,0.0482,16.272,20.746,54.500
5,06/26/15 17:00:00,0.0475,16.272,20.365,52.800
6,06/26/15 18:00:00,0.0475,16.249,19.888,55.800
7,06/26/15 19:00:00,0.0475,16.201,18.889,58.700
8,06/26/15 20:00:00,0.0475,16.153,17.439,66.800
9,06/26/15 21:00:00,0.0475,16.082,16.939,66.800
10,06/26/15 22:00:00,0.0475,16.010,16.987,67.700
11,06/26/15 23:00:00,0.0475,15.939,17.034,65.500
12,06/27/15 00:00:00,0.0475,15.867,16.677,66.900
13,06/27/15 01:00:00,0.0475,15.796,16.272,70.600
14,06/27/15 02:00:00,0.0475,15.724,15.915,70.800
15,06/27/15 03:00:00,0.0475,15.652,15.676,72.600
16,06/27/15 04:00:00,0.0475,15.581,16.106,73.400
17,06/27/15 05:00:00,0.0475,15.533,16.344,70.500
18,06/27/15 06:00:00,0.0475,15.509,18.485,65.900
19,06/27/15 07:00:00,0.0475,15.461,17.891,62.000
20,06/27/15 08:00:00,0.0475,15.414,17.368,68.500
21,06/27/15 09:00:00,0.0468,15.390,17.510,71.700
22,06/27/15 10:00:00,0.0468,15.366,17.225,74.200
23,06/27/15 11:00:00,0.0468,15.342,14.409,80.200
24,06/27/15 12:00:00,0.0497,15.270,14.337,93.000
25,06/27/15 13:00:00,0.1499,15.199,13.642,94.700
26,06/27/15 14:00:00,0.1543,15.127,14.840,96.000
27,06/27/15 15:00:00,0.2153,15.079,15.318,96.900
28,06/27/15 16:00:00,0.2610,15.103,15.127,97.300
29,06/27/15 17:00:00,0.2182,15.127,14.864,97.700
30,06/27/15 18:00:00,0.2153,15.127,14.433,97.700
31,06/27/15 19:00:00,0.2153,15.103,14.146,97.800
32,06/27/15 20:00:00,0.2618,15.055,14.026,97.900
33,06/27/15 21:00:00,0.2596,14.984,13.497,97.900
34,06/27/15 22:00:00,0.2276,14.912,13.401,97.900
35,06/27/15 23:00:00,0.2211,14.840,12.968,98.000
36,06/28/15 00:00:00,0.2153,14.768,12.968,98.000
37,06/28/15 01:00:00,0.2458,14.697,12.582,97.900
38,06/28/15 02:00:00,0.2233,14.577,12.509,97.900
39,06/28/15 03:00:00,0.2160,14.529,12.147,97.900
40,06/28/15 04:00:00,0.2211,14.457,12.171,98.000
41,06/28/15 05:00:00,0.2371,14.361,12.147,98.000
42,06/28/15 06:00:00,0.2451,14.242,12.050,98.000
43,06/28/15 07:00:00,0.2320,14.146,12.074,98.100
44,06/28/15 08:00:00,0.2247,14.098,12.292,98.200
45,06/28/15 09:00:00,0.2182,14.050,12.606,98.200
