"Plot Title: pond"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 2252217, SEN S/N: 2226785, LBL: air_temp)","Voltage, V (LGR S/N: 2252217, SEN S/N: 2241280)","Current, mA (LGR S/N: 2252217, SEN S/N: 2241280)","Water Content, m³/m³ (LGR S/N: 2252217, SEN S/N: 9866284, LBL: wc_soil)","Temp, °C (LGR S/N: 2252217, SEN S/N: 10197815, LBL: temp_c)","RH, % (LGR S/N: 2252217, SEN S/N: 10197815, LBL: rh)","Batt, V (LGR S/N: 2252217)"
1,06/26/15 12:00:00,20.960,-0.2039,0.0000,0.2821,22.250,61.000,4.152
2,06/26/15 13:00:00,20.936,-0.2039,0.0000,0.2814,22.729,57.800,4.152
3,06/26/15 14:00:00,21.724,-0.2039,0.0000,0.2814,24.171,54.400,4.152
4,06/26/15 15:00:00,23.472,-0.2039,0.0000,0.2806,24.460,50.200,4.140
5,06/26/15 16:00:00,23.112,-0.2039,0.0000,0.2806,21.843,48.500,4.146
6,06/26/15 17:00:00,21.676,-0.2039,0.0000,0.2806,21.342,50.800,4.152
7,06/26/15 18:00:00,20.841,-0.2039,0.0000,0.2799,20.746,50.800,4.140
8,06/26/15 19:00:00,20.246,-0.2039,0.0000,0.2799,19.341,52.900,4.140
9,06/26/15 20:00:00,19.555,-0.2039,0.0000,0.2806,17.368,54.900,4.140
10,06/26/15 21:00:00,18.794,-0.2039,0.0000,0.2806,16.249,65.200,4.140
11,06/26/15 22:00:00,18.152,-0.2039,0.0000,0.2806,18.295,65.400,4.140
12,06/26/15 23:00:00,17.748,-0.2039,0.0000,0.2806,18.224,55.800,4.140
13,06/27/15 00:00:00,17.391,-0.2039,0.0000,0.2806,15.676,64.200,4.140
14,06/27/15 01:00:00,17.011,-0.2039,0.0000,0.2806,16.010,71.900,4.140
15,06/27/15 02:00:00,16.725,-0.2039,0.0000,0.2806,15.557,71.600,4.140
16,06/27/15 03:00:00,16.487,-0.2039,0.0000,0.2806,16.534,70.300,4.140
17,06/27/15 04:00:00,16.320,-0.2039,0.0000,0.2806,17.534,64.400,4.140
18,06/27/15 05:00:00,16.201,-0.2039,0.0000,0.2806,17.677,58.100,4.140
19,06/27/15 06:00:00,16.106,-0.2039,0.0000,0.2806,18.699,56.300,4.140
20,06/27/15 07:00:00,16.058,-0.2039,0.0000,0.2806,18.033,58.700,4.140
21,06/27/15 08:00:00,16.034,-0.2039,0.0000,0.2806,17.605,65.600,4.140
22,06/27/15 09:00:00,16.034,-0.2039,0.0000,0.2799,17.938,68.400,4.140
23,06/27/15 10:00:00,16.177,-0.2039,0.0000,0.2799,17.296,71.500,4.140
24,06/27/15 11:00:00,16.225,-0.2039,0.0000,0.2821,14.457,77.300,4.140
25,06/27/15 12:00:00,16.082,-0.2039,0.0000,0.2915,14.457,90.100,4.140
26,06/27/15 13:00:00,15.867,-0.2039,0.0000,0.3148,13.906,93.200,4.140
27,06/27/15 14:00:00,15.748,-0.2039,0.0000,0.3162,15.103,94.600,4.158
28,06/27/15 15:00:00,15.819,-0.2039,0.0000,0.3344,15.629,95.600,4.140
29,06/27/15 16:00:00,15.891,-0.2039,0.0000,0.4128,15.223,96.400,4.140
30,06/27/15 17:00:00,15.915,-0.2039,0.0000,0.3504,15.031,97.100,4.140
31,06/27/15 18:00:00,15.891,-0.2039,0.0000,0.3424,14.601,97.500,4.140
32,06/27/15 19:00:00,15.796,-0.2039,0.0000,0.3358,14.433,97.800,4.140
33,06/27/15 20:00:00,15.629,-0.2039,0.0000,0.3460,14.290,98.000,4.140
34,06/27/15 21:00:00,15.390,-0.2039,0.0000,0.3678,13.714,98.300,4.128
35,06/27/15 22:00:00,15.175,-0.2039,0.0000,0.3395,13.666,98.400,4.134
36,06/27/15 23:00:00,15.055,-0.2039,0.0000,0.3315,13.233,98.600,4.134
37,06/28/15 00:00:00,14.912,-0.2039,0.0000,0.3242,13.257,98.700,4.134
38,06/28/15 01:00:00,14.721,-0.2039,0.0000,0.3446,12.871,98.800,4.158
39,06/28/15 02:00:00,14.553,-0.2039,0.0000,0.3279,12.751,98.900,4.134
40,06/28/15 03:00:00,14.433,-0.2039,0.0000,0.3242,12.413,99.000,4.128
41,06/28/15 04:00:00,14.266,-0.2039,0.0000,0.3271,12.437,99.100,4.128
42,06/28/15 05:00:00,14.122,-0.2039,0.0000,0.3496,12.413,99.100,4.128
43,06/28/15 06:00:00,13.930,-0.2039,0.0000,0.3605,12.292,99.200,4.128
44,06/28/15 07:00:00,13.906,-0.2039,0.0000,0.3482,12.316,99.200,4.128
45,06/28/15 08:00:00,13.978,-0.2039,0.0000,0.3409,12.582,99.200,4.128
46,06/28/15 09:00:00,14.146,-0.2039,0.0000,0.3293,12.920,99.200,4.128
47,06/28/15 10:00:00,14.361,-0.2039,0.0000,0.3271,13.642,99.200,4.128
48,06/28/15 11:00:00,14.792,-0.2039,0.0000,0.3235,13.858,99.100,4.128
49,06/28/15 12:00:00,15.055,-0.2039,0.0000,0.3199,14.002,99.100,4.128
50,06/28/15 13:00:00,15.270,-0.2039,0.0000,0.3170,14.505,99.100,4.128
51,06/28/15 14:00:00,15.438,-0.2039,0.0000,0.3191,14.074,99.100,4.128
52,06/28/15 15:00:00,15.461,-0.2039,0.0000,0.3257,14.290,99.100,4.128
53,06/28/15 16:00:00,15.557,-0.2039,0.0000,0.3279,15.079,99.000,4.128
54,06/28/15 17:00:00,15.843,-0.2039,0.0000,0.3235,15.963,98.900,4.128
