"Plot Title: field"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 2252215, SEN S/N: 2226787)","Water Content, m³/m³ (LGR S/N: 2252215, SEN S/N: 2241185)","Voltage, V (LGR S/N: 2252215, SEN S/N: 2241274)","Current, mA (LGR S/N: 2252215, SEN S/N: 2241274)","Temp, °C (LGR S/N: 2252215, SEN S/N: 10785045)","RH, % (LGR S/N: 2252215, SEN S/N: 10785045)"
1,23-08-17 15:00:00,19.698,0.0628,-0.1988,0.0000,21.008,61.200
2,23-08-17 16:00:00,19.841,0.0613,-0.1988,0.0000,24.460,51.200
3,23-08-17 17:00:00,20.079,0.0598,-0.1988,0.0000,23.088,47.800
4,23-08-17 18:00:00,20.198,0.0584,-0.1988,0.0000,22.034,51.500
5,23-08-17 19:00:00,20.079,0.0569,-0.1988,0.0000,19.651,52.400
6,23-08-17 20:00:00,19.746,0.0548,-0.1988,0.0000,16.796,57.000
7,23-08-17 21:00:00,19.294,0.0555,-0.1988,0.0000,15.533,67.000
8,23-08-17 22:00:00,18.794,0.0555,-0.1988,0.0000,15.438,73.200
9,23-08-17 23:00:00,18.343,0.0562,-0.1988,0.0000,13.570,79.300
10,24-08-17 00:00:00,17.915,0.0569,-0.1988,0.0000,13.305,82.300
11,24-08-17 01:00:00,17.510,0.0569,-0.1988,0.0000,11.977,86.800
12,24-08-17 02:00:00,17.153,0.0584,-0.1988,0.0000,11.710,91.300
13,24-08-17 03:00:00,16.796,0.0584,-0.1988,0.0000,11.297,93.000
14,24-08-17 04:00:00,16.487,0.0591,-0.1988,0.0000,11.540,93.800
15,24-08-17 05:00:00,16.225,0.0598,-0.1988,0.0000,10.980,93.900
16,24-08-17 06:00:00,15.986,0.0598,-0.1988,0.0000,10.369,95.500
17,24-08-17 07:00:00,15.772,0.0606,-0.1988,0.0000,10.320,97.000
18,24-08-17 08:00:00,15.605,0.0606,-0.1988,0.0000,14.122,97.400
19,24-08-17 09:00:00,15.629,0.0584,-0.1988,0.0000,17.249,85.100
20,24-08-17 10:00:00,15.939,0.0569,-0.1988,0.0000,17.415,78.400
21,24-08-17 11:00:00,16.415,0.0555,-0.1988,0.0000,18.319,73.700
22,24-08-17 12:00:00,16.892,0.0548,-0.1988,0.0000,19.103,68.200
23,24-08-17 13:00:00,17.296,0.0533,-0.1988,0.0000,18.010,71.000
24,24-08-17 14:00:00,17.582,0.0540,-0.1988,0.0000,20.007,74.500
25,24-08-17 15:00:00,17.843,0.0519,-0.1988,0.0000,18.937,65.100
26,24-08-17 16:00:00,18.129,0.0519,-0.1988,0.0000,21.891,62.800
27,24-08-17 17:00:00,18.319,0.0511,-0.1988,0.0000,21.963,60.300
28,24-08-17 18:00:00,18.461,0.0497,-0.1988,0.0000,20.341,63.600
29,24-08-17 19:00:00,18.461,0.0482,-0.1988,0.0000,17.344,72.800
30,24-08-17 20:00:00,18.343,0.0482,-0.1988,0.0000,15.533,79.300
31,24-08-17 21:00:00,18.057,0.0482,-0.1988,0.0000,16.034,82.200
32,24-08-17 22:00:00,17.748,0.0475,-0.1988,0.0000,15.772,70.300
33,24-08-17 23:00:00,17.486,0.0475,-0.1988,0.0000,15.247,68.800
34,25-08-17 00:00:00,17.272,0.0475,-0.1988,0.0000,13.209,72.300
35,25-08-17 01:00:00,16.963,0.0475,-0.1988,0.0000,11.613,80.300
36,25-08-17 02:00:00,16.558,0.0482,-0.1988,0.0000,10.834,85.300
37,25-08-17 03:00:00,16.153,0.0490,-0.1988,0.0000,10.051,88.600
38,25-08-17 04:00:00,15.748,0.0497,-0.1988,0.0000,10.100,91.200
39,25-08-17 05:00:00,15.414,0.0504,-0.1988,0.0000,9.040,91.900
40,25-08-17 06:00:00,15.079,0.0504,-0.1988,0.0000,9.410,93.400
41,25-08-17 07:00:00,14.792,0.0504,-0.1988,0.0000,9.386,94.100
42,25-08-17 08:00:00,14.577,0.0504,-0.1988,0.0000,11.856,94.000
43,25-08-17 09:00:00,14.577,0.0504,-0.1988,0.0000,17.058,84.200
44,25-08-17 10:00:00,14.864,0.0490,-0.1988,0.0000,19.841,66.600
45,25-08-17 11:00:00,15.414,0.0475,-0.1988,0.0000,21.413,50.000
46,25-08-17 12:00:00,16.034,0.0453,-0.1988,0.0000,21.652,43.500
47,25-08-17 13:00:00,16.654,0.0439,-0.1988,0.0000,22.753,39.000
48,25-08-17 14:00:00,17.201,0.0417,-0.1988,0.0000,22.178,37.600
49,25-08-17 15:00:00,17.677,0.0410,-0.1988,0.0000,23.040,36.400
50,25-08-17 16:00:00,18.057,0.0388,-0.1988,0.0000,20.960,43.800
51,25-08-17 17:00:00,18.295,0.0381,-0.1988,0.0000,21.700,45.200
52,25-08-17 18:00:00,18.390,0.0366,-0.1988,0.0000,20.650,45.800
53,25-08-17 19:00:00,18.319,0.0352,-0.1988,0.0000,18.081,51.500
54,25-08-17 20:00:00,18.105,0.0344,-0.1988,0.0000,15.414,66.900
55,25-08-17 21:00:00,17.724,0.0337,-0.1988,0.0000,15.151,69.800
56,25-08-17 22:00:00,17.296,0.0344,-0.1988,0.0000,14.601,59.200
57,25-08-17 23:00:00,16.868,0.0337,-0.1988,0.0000,12.630,62.500
58,26-08-17 00:00:00,16.439,0.0344,-0.1988,0.0000,11.759,66.500
59,26-08-17 01:00:00,15.986,0.0344,-0.1988,0.0000,11.419,72.300
60,26-08-17 02:00:00,15.581,0.0344,-0.1988,0.0000,10.614,75.000
61,26-08-17 03:00:00,15.223,0.0352,-0.1988,0.0000,9.682,81.100
62,26-08-17 04:00:00,14.888,0.0352,-0.1988,0.0000,10.173,82.200
63,26-08-17 05:00:00,14.601,0.0359,-0.1988,0.0000,9.312,83.100
64,26-08-17 06:00:00,14.314,0.0359,-0.1988,0.0000,8.990,85.100
65,26-08-17 07:00:00,14.074,0.0366,-0.1988,0.0000,9.386,85.300
66,26-08-17 08:00:00,13.906,0.0373,-0.1988,0.0000,11.565,85.100
67,26-08-17 09:00:00,13.930,0.0373,-0.1988,0.0000,16.915,78.500
68,26-08-17 10:00:00,14.242,0.0373,-0.1988,0.0000,20.365,66.900
69,26-08-17 11:00:00,14.816,0.0359,-0.1988,0.0000,21.032,56.300
70,26-08-17 12:00:00,15.485,0.0344,-0.1988,0.0000,21.652,47.300
71,26-08-17 13:00:00,16.153,0.0337,-0.1988,0.0000,23.040,46.800
72,26-08-17 14:00:00,16.725,0.0322,-0.1988,0.0000,22.824,47.000
73,26-08-17 15:00:00,17.249,0.0322,-0.1988,0.0000,23.328,44.600
74,26-08-17 16:00:00,17.653,0.0301,-0.1988,0.0000,23.136,43.400
75,26-08-17 17:00:00,17.986,0.0293,-0.1988,0.0000,23.208,44.700
76,26-08-17 18:00:00,18.152,0.0279,-0.1988,0.0000,21.342,46.700
77,26-08-17 19:00:00,18.105,0.0257,-0.1988,0.0000,17.605,55.800
