"Plot Title: forest"
"#","Date Time, GMT-04:00","Water Content, m³/m³ (LGR S/N: 2252216, SEN S/N: 2012386)","Temp, °C (LGR S/N: 2252216, SEN S/N: 2226786)","Temp, °C (LGR S/N: 2252216, SEN S/N: 2229654)","RH, % (LGR S/N: 2252216, SEN S/N: 2229654)","Voltage, mV (LGR S/N: 2252216, SEN S/N: 2241275, LBL: Omegadyne)","Current, mA (LGR S/N: 2252216, SEN S/N: 2241275)"
1,08/23/17 04:00:00  PM,0.0155,17.629,22.369,52.400,-0.00023,0.0000
2,08/23/17 05:00:00  PM,0.0170,17.653,21.199,54.800,-0.00023,0.0000
3,08/23/17 06:00:00  PM,0.0163,17.629,21.008,57.800,-0.00023,0.0000
4,08/23/17 07:00:00  PM,0.0163,17.582,19.817,56.400,-0.00023,0.0000
5,08/23/17 08:00:00  PM,0.0163,17.510,18.485,58.400,-0.00023,0.0000
6,08/23/17 09:00:00  PM,0.0163,17.439,17.344,64.000,-0.00023,0.0000
7,08/23/17 10:00:00  PM,0.0163,17.344,16.487,69.500,-0.00023,0.0000
8,08/23/17 11:00:00  PM,0.0163,17.249,15.748,73.600,-0.00023,0.0000
9,08/24/17 12:00:00  AM,0.0163,17.153,14.960,76.400,-0.00023,0.0000
10,08/24/17 01:00:00  AM,0.0163,17.058,14.098,80.400,-0.00023,0.0000
11,08/24/17 02:00:00  AM,0.0163,16.939,13.834,82.600,-0.00023,0.0000
12,08/24/17 03:00:00  AM,0.0163,16.844,13.473,85.000,-0.00023,0.0000
13,08/24/17 04:00:00  AM,0.0170,16.725,13.064,85.400,-0.00023,0.0000
14,08/24/17 05:00:00  AM,0.0163,16.630,12.582,87.200,-0.00023,0.0000
15,08/24/17 06:00:00  AM,0.0163,16.511,12.195,88.300,-0.00023,0.0000
16,08/24/17 07:00:00  AM,0.0170,16.415,12.025,89.700,-0.00023,0.0000
17,08/24/17 08:00:00  AM,0.0170,16.296,13.401,89.500,-0.00023,0.0000
18,08/24/17 09:00:00  AM,0.0170,16.225,14.984,86.300,-0.00023,0.0000
19,08/24/17 10:00:00  AM,0.0170,16.225,15.939,83.300,-0.00023,0.0000
20,08/24/17 11:00:00  AM,0.0170,16.249,17.011,80.600,-0.00023,0.0000
21,08/24/17 12:00:00  PM,0.0163,16.320,17.605,75.400,-0.00023,0.0000
22,08/24/17 01:00:00  PM,0.0163,16.368,17.153,77.000,-0.00023,0.0000
23,08/24/17 02:00:00  PM,0.0163,16.392,17.510,80.000,-0.00023,0.0000
24,08/24/17 03:00:00  PM,0.0155,16.439,18.224,73.400,-0.00023,0.0000
25,08/24/17 04:00:00  PM,0.0155,16.487,18.985,70.900,-0.00023,0.0000
26,08/24/17 05:00:00  PM,0.0155,16.511,18.604,68.700,-0.00023,0.0000
27,08/24/17 06:00:00  PM,0.0155,16.534,18.533,71.300,-0.00023,0.0000
28,08/24/17 07:00:00  PM,0.0155,16.558,17.272,76.300,-0.00023,0.0000
29,08/24/17 08:00:00  PM,0.0148,16.558,16.511,79.400,-0.00023,0.0000
30,08/24/17 09:00:00  PM,0.0155,16.558,16.963,81.100,-0.00023,0.0000
31,08/24/17 10:00:00  PM,0.0155,16.511,16.129,72.000,-0.00023,0.0000
32,08/24/17 11:00:00  PM,0.0148,16.463,15.700,72.000,-0.00023,0.0000
33,08/25/17 12:00:00  AM,0.0155,16.392,14.553,73.200,-0.00023,0.0000
34,08/25/17 01:00:00  AM,0.0155,16.296,13.064,75.900,-0.00023,0.0000
35,08/25/17 02:00:00  AM,0.0155,16.201,12.703,79.700,-0.00023,0.0000
36,08/25/17 03:00:00  AM,0.0155,16.106,11.904,81.800,-0.00023,0.0000
37,08/25/17 04:00:00  AM,0.0155,15.986,11.637,84.300,-0.00023,0.0000
38,08/25/17 05:00:00  AM,0.0155,15.843,10.638,85.600,-0.00023,0.0000
39,08/25/17 06:00:00  AM,0.0155,15.724,10.687,87.200,-0.00023,0.0000
40,08/25/17 07:00:00  AM,0.0155,15.605,10.467,88.000,-0.00023,0.0000
41,08/25/17 08:00:00  AM,0.0155,15.485,11.321,88.200,-0.00023,0.0000
42,08/25/17 09:00:00  AM,0.0155,15.414,13.882,85.200,-0.00023,0.0000
43,08/25/17 10:00:00  AM,0.0155,15.414,16.129,76.900,-0.00023,0.0000
44,08/25/17 11:00:00  AM,0.0148,15.485,17.938,61.600,-0.00023,0.0000
45,08/25/17 12:00:00  PM,0.0148,15.557,18.747,55.100,-0.00023,0.0000
46,08/25/17 01:00:00  PM,0.0148,15.652,19.532,48.800,-0.00023,0.0000
47,08/25/17 02:00:00  PM,0.0141,15.724,20.055,46.700,-0.00023,0.0000
48,08/25/17 03:00:00  PM,0.0141,15.796,20.579,44.600,-0.00023,0.0000
49,08/25/17 04:00:00  PM,0.0141,15.843,19.318,51.700,-0.00023,0.0000
50,08/25/17 05:00:00  PM,0.0141,15.915,19.080,54.000,-0.00023,0.0000
51,08/25/17 06:00:00  PM,0.0134,15.963,18.842,54.600,-0.00023,0.0000
52,08/25/17 07:00:00  PM,0.0134,15.963,18.461,56.000,-0.00023,0.0000
53,08/25/17 08:00:00  PM,0.0134,15.963,16.534,65.700,-0.00023,0.0000
54,08/25/17 09:00:00  PM,0.0134,15.963,16.106,70.400,-0.00023,0.0000
55,08/25/17 10:00:00  PM,0.0141,15.939,15.294,66.800,-0.00023,0.0000
56,08/25/17 11:00:00  PM,0.0134,15.891,14.122,65.400,-0.00023,0.0000
57,08/26/17 12:00:00  AM,0.0141,15.819,13.449,67.700,-0.00023,0.0000
58,08/26/17 01:00:00  AM,0.0134,15.724,12.654,71.100,-0.00023,0.0000
59,08/26/17 02:00:00  AM,0.0134,15.629,12.122,72.300,-0.00023,0.0000
60,08/26/17 03:00:00  AM,0.0134,15.509,11.565,75.700,-0.00023,0.0000
61,08/26/17 04:00:00  AM,0.0141,15.414,11.710,76.900,-0.00023,0.0000
62,08/26/17 05:00:00  AM,0.0134,15.294,10.883,78.700,-0.00023,0.0000
63,08/26/17 06:00:00  AM,0.0141,15.199,10.247,80.900,-0.00023,0.0000
64,08/26/17 07:00:00  AM,0.0141,15.079,10.198,81.500,-0.00023,0.0000
65,08/26/17 08:00:00  AM,0.0141,14.984,10.932,82.200,-0.00023,0.0000
66,08/26/17 09:00:00  AM,0.0141,14.888,13.570,80.400,-0.00023,0.0000
67,08/26/17 10:00:00  AM,0.0141,14.888,16.558,77.300,-0.00023,0.0000
68,08/26/17 11:00:00  AM,0.0141,14.984,18.176,68.500,-0.00023,0.0000
69,08/26/17 12:00:00  PM,0.0134,15.103,19.270,59.300,-0.00023,0.0000
70,08/26/17 01:00:00  PM,0.0134,15.223,20.031,56.600,-0.00023,0.0000
71,08/26/17 02:00:00  PM,0.0134,15.342,20.674,56.500,-0.00023,0.0000
72,08/26/17 03:00:00  PM,0.0126,15.461,20.674,55.000,-0.00023,0.0000
73,08/26/17 04:00:00  PM,0.0126,15.557,20.674,54.000,-0.00023,0.0000
74,08/26/17 05:00:00  PM,0.0126,15.652,20.198,54.600,-0.00023,0.0000
75,08/26/17 06:00:00  PM,0.0126,15.700,19.270,56.800,-0.00023,0.0000
76,08/26/17 07:00:00  PM,0.0126,15.724,18.557,59.300,-0.00023,0.0000
77,08/26/17 08:00:00  PM,0.0126,15.724,16.701,66.400,-0.00023,0.0000
78,08/26/17 09:00:00  PM,0.0126,15.724,15.629,72.800,-0.00023,0.0000
79,08/26/17 10:00:00  PM,0.0126,15.676,14.242,77.400,-0.00023,0.0000
80,08/26/17 11:00:00  PM,0.0126,15.629,13.546,82.100,-0.00023,0.0000
81,08/27/17 12:00:00  AM,0.0126,15.557,13.401,84.600,-0.00023,0.0000
82,08/27/17 01:00:00  AM,0.0126,15.485,12.944,85.700,-0.00023,0.0000
83,08/27/17 02:00:00  AM,0.0126,15.414,12.920,85.400,-0.00023,0.0000
84,08/27/17 03:00:00  AM,0.0126,15.342,12.074,85.500,-0.00023,0.0000
85,08/27/17 04:00:00  AM,0.0126,15.270,11.224,88.400,-0.00023,0.0000
86,08/27/17 05:00:00  AM,0.0126,15.175,10.980,89.200,-0.00023,0.0000
87,08/27/17 06:00:00  AM,0.0126,15.079,10.590,89.200,-0.00023,0.0000
88,08/27/17 07:00:00  AM,0.0126,14.984,10.149,90.200,-0.00023,0.0000
89,08/27/17 08:00:00  AM,0.0134,14.888,11.321,89.500,-0.00023,0.0000
90,08/27/17 09:00:00  AM,0.0126,14.816,14.361,86.700,-0.00023,0.0000
91,08/27/17 10:00:00  AM,0.0134,14.840,18.152,80.400,-0.00023,0.0000
92,08/27/17 11:00:00  AM,0.0126,14.960,18.889,74.500,-0.00023,0.0000
93,08/27/17 12:00:00  PM,0.0126,15.103,19.746,67.600,-0.00023,0.0000
94,08/27/17 01:00:00  PM,0.0126,15.247,19.793,64.500,-0.00023,0.0000
95,08/27/17 02:00:00  PM,0.0126,15.366,19.960,64.900,-0.00023,0.0000
96,08/27/17 03:00:00  PM,0.0119,15.438,19.746,64.200,-0.00023,0.0000
