"Plot Title: pond"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 2252217, SEN S/N: 2226785, LBL: soiltemp)","Current, mA (LGR S/N: 2252217, SEN S/N: 2241280)","Water Content, m³/m³ (LGR S/N: 2252217, SEN S/N: 9866284, LBL: wc_soil)","Temp, °C (LGR S/N: 2252217, SEN S/N: 10197815, LBL: airtemp)","RH, % (LGR S/N: 2252217, SEN S/N: 10197815, LBL: rh)"
1,10/26/17 10:00:00  AM,7.015,0.0000,0.3119,6.611,96.300
2,10/26/17 11:00:00  AM,7.368,0.0000,0.3119,8.195,96.100
3,10/26/17 12:00:00  PM,7.945,0.0000,0.3119,11.953,86.100
4,10/26/17 01:00:00  PM,8.916,0.0000,0.3112,12.751,63.000
5,10/26/17 02:00:00  PM,9.928,0.0000,0.3112,11.734,55.000
6,10/26/17 03:00:00  PM,10.980,0.0000,0.3112,11.492,52.500
7,10/26/17 04:00:00  PM,11.248,0.0000,0.3119,11.662,53.800
8,10/26/17 05:00:00  PM,11.175,0.0000,0.3112,10.810,55.900
9,10/26/17 06:00:00  PM,11.005,0.0000,0.3119,9.509,58.700
10,10/26/17 07:00:00  PM,10.663,0.0000,0.3112,6.153,66.900
11,10/26/17 08:00:00  PM,10.100,0.0000,0.3104,4.714,77.300
12,10/26/17 09:00:00  PM,9.509,0.0000,0.3119,4.402,83.800
13,10/26/17 10:00:00  PM,9.064,0.0000,0.3119,3.932,87.200
14,10/26/17 11:00:00  PM,8.643,0.0000,0.3112,3.248,89.300
15,10/27/17 12:00:00  AM,8.270,0.0000,0.3112,2.557,91.100
16,10/27/17 01:00:00  AM,7.920,0.0000,0.3112,2.155,92.400
17,10/27/17 02:00:00  AM,7.619,0.0000,0.3104,1.670,93.400
18,10/27/17 03:00:00  AM,7.343,0.0000,0.3112,2.396,94.100
19,10/27/17 04:00:00  AM,7.192,0.0000,0.3104,2.289,94.600
20,10/27/17 05:00:00  AM,7.116,0.0000,0.3104,2.797,95.200
21,10/27/17 06:00:00  AM,7.066,0.0000,0.3097,2.477,95.500
22,10/27/17 07:00:00  AM,7.015,0.0000,0.3104,2.797,95.800
23,10/27/17 08:00:00  AM,6.965,0.0000,0.3104,4.298,96.100
24,10/27/17 09:00:00  AM,7.015,0.0000,0.3097,6.864,96.300
25,10/27/17 10:00:00  AM,7.343,0.0000,0.3104,9.706,96.300
26,10/27/17 11:00:00  AM,7.995,0.0000,0.3104,11.783,95.900
27,10/27/17 12:00:00  PM,8.841,0.0000,0.3104,13.594,84.100
28,10/27/17 01:00:00  PM,9.805,0.0000,0.3104,14.792,72.600
29,10/27/17 02:00:00  PM,10.932,0.0000,0.3104,16.296,63.600
30,10/27/17 03:00:00  PM,12.243,0.0000,0.3104,15.270,60.400
31,10/27/17 04:00:00  PM,12.509,0.0000,0.3104,14.337,62.600
32,10/27/17 05:00:00  PM,12.316,0.0000,0.3104,13.834,71.300
33,10/27/17 06:00:00  PM,12.074,0.0000,0.3104,12.219,77.500
