"Plot Title: field"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 2252215, SEN S/N: 2226787)","Water Content, m³/m³ (LGR S/N: 2252215, SEN S/N: 2241185)","Temp, °C (LGR S/N: 2252215, SEN S/N: 10785045)","RH, % (LGR S/N: 2252215, SEN S/N: 10785045)"
1,08/23/17 03:00:00  PM,19.698,0.0628,21.008,61.200
2,08/23/17 04:00:00  PM,19.841,0.0613,24.460,51.200
3,08/23/17 05:00:00  PM,20.079,0.0598,23.088,47.800
4,08/23/17 06:00:00  PM,20.198,0.0584,22.034,51.500
5,08/23/17 07:00:00  PM,20.079,0.0569,19.651,52.400
6,08/23/17 08:00:00  PM,19.746,0.0548,16.796,57.000
7,08/23/17 09:00:00  PM,19.294,0.0555,15.533,67.000
8,08/23/17 10:00:00  PM,18.794,0.0555,15.438,73.200
9,08/23/17 11:00:00  PM,18.343,0.0562,13.570,79.300
10,08/24/17 12:00:00  AM,17.915,0.0569,13.305,82.300
11,08/24/17 01:00:00  AM,17.510,0.0569,11.977,86.800
12,08/24/17 02:00:00  AM,17.153,0.0584,11.710,91.300
13,08/24/17 03:00:00  AM,16.796,0.0584,11.297,93.000
14,08/24/17 04:00:00  AM,16.487,0.0591,11.540,93.800
15,08/24/17 05:00:00  AM,16.225,0.0598,10.980,93.900
16,08/24/17 06:00:00  AM,15.986,0.0598,10.369,95.500
17,08/24/17 07:00:00  AM,15.772,0.0606,10.320,97.000
18,08/24/17 08:00:00  AM,15.605,0.0606,14.122,97.400
19,08/24/17 09:00:00  AM,15.629,0.0584,17.249,85.100
20,08/24/17 10:00:00  AM,15.939,0.0569,17.415,78.400
21,08/24/17 11:00:00  AM,16.415,0.0555,18.319,73.700
22,08/24/17 12:00:00  PM,16.892,0.0548,19.103,68.200
23,08/24/17 01:00:00  PM,17.296,0.0533,18.010,71.000
24,08/24/17 02:00:00  PM,17.582,0.0540,20.007,74.500
25,08/24/17 03:00:00  PM,17.843,0.0519,18.937,65.100
26,08/24/17 04:00:00  PM,18.129,0.0519,21.891,62.800
27,08/24/17 05:00:00  PM,18.319,0.0511,21.963,60.300
28,08/24/17 06:00:00  PM,18.461,0.0497,20.341,63.600
29,08/24/17 07:00:00  PM,18.461,0.0482,17.344,72.800
30,08/24/17 08:00:00  PM,18.343,0.0482,15.533,79.300
31,08/24/17 09:00:00  PM,18.057,0.0482,16.034,82.200
32,08/24/17 10:00:00  PM,17.748,0.0475,15.772,70.300
33,08/24/17 11:00:00  PM,17.486,0.0475,15.247,68.800
34,08/25/17 12:00:00  AM,17.272,0.0475,13.209,72.300
35,08/25/17 01:00:00  AM,16.963,0.0475,11.613,80.300
36,08/25/17 02:00:00  AM,16.558,0.0482,10.834,85.300
37,08/25/17 03:00:00  AM,16.153,0.0490,10.051,88.600
38,08/25/17 04:00:00  AM,15.748,0.0497,10.100,91.200
39,08/25/17 05:00:00  AM,15.414,0.0504,9.040,91.900
40,08/25/17 06:00:00  AM,15.079,0.0504,9.410,93.400
41,08/25/17 07:00:00  AM,14.792,0.0504,9.386,94.100
42,08/25/17 08:00:00  AM,14.577,0.0504,11.856,94.000
43,08/25/17 09:00:00  AM,14.577,0.0504,17.058,84.200
44,08/25/17 10:00:00  AM,14.864,0.0490,19.841,66.600
45,08/25/17 11:00:00  AM,15.414,0.0475,21.413,50.000
46,08/25/17 12:00:00  PM,16.034,0.0453,21.652,43.500
47,08/25/17 01:00:00  PM,16.654,0.0439,22.753,39.000
48,08/25/17 02:00:00  PM,17.201,0.0417,22.178,37.600
49,08/25/17 03:00:00  PM,17.677,0.0410,23.040,36.400
50,08/25/17 04:00:00  PM,18.057,0.0388,20.960,43.800
51,08/25/17 05:00:00  PM,18.295,0.0381,21.700,45.200
52,08/25/17 06:00:00  PM,18.390,0.0366,20.650,45.800
53,08/25/17 07:00:00  PM,18.319,0.0352,18.081,51.500
54,08/25/17 08:00:00  PM,18.105,0.0344,15.414,66.900
55,08/25/17 09:00:00  PM,17.724,0.0337,15.151,69.800
56,08/25/17 10:00:00  PM,17.296,0.0344,14.601,59.200
57,08/25/17 11:00:00  PM,16.868,0.0337,12.630,62.500
58,08/26/17 12:00:00  AM,16.439,0.0344,11.759,66.500
59,08/26/17 01:00:00  AM,15.986,0.0344,11.419,72.300
60,08/26/17 02:00:00  AM,15.581,0.0344,10.614,75.000
61,08/26/17 03:00:00  AM,15.223,0.0352,9.682,81.100
62,08/26/17 04:00:00  AM,14.888,0.0352,10.173,82.200
63,08/26/17 05:00:00  AM,14.601,0.0359,9.312,83.100
64,08/26/17 06:00:00  AM,14.314,0.0359,8.990,85.100
65,08/26/17 07:00:00  AM,14.074,0.0366,9.386,85.300
66,08/26/17 08:00:00  AM,13.906,0.0373,11.565,85.100
67,08/26/17 09:00:00  AM,13.930,0.0373,16.915,78.500
68,08/26/17 10:00:00  AM,14.242,0.0373,20.365,66.900
69,08/26/17 11:00:00  AM,14.816,0.0359,21.032,56.300
70,08/26/17 12:00:00  PM,15.485,0.0344,21.652,47.300
71,08/26/17 01:00:00  PM,16.153,0.0337,23.040,46.800
72,08/26/17 02:00:00  PM,16.725,0.0322,22.824,47.000
73,08/26/17 03:00:00  PM,17.249,0.0322,23.328,44.600
74,08/26/17 04:00:00  PM,17.653,0.0301,23.136,43.400
75,08/26/17 05:00:00  PM,17.986,0.0293,23.208,44.700
76,08/26/17 06:00:00  PM,18.152,0.0279,21.342,46.700
77,08/26/17 07:00:00  PM,18.105,0.0257,17.605,55.800
78,08/26/17 08:00:00  PM,17.796,0.0257,14.768,65.900
79,08/26/17 09:00:00  PM,17.296,0.0250,13.064,75.600
