"Plot Title: forest"
"#","Date Time, GMT-04:00","Water Content, m³/m³ (LGR S/N: 2252216, SEN S/N: 2012386)","Temp, °C (LGR S/N: 2252216, SEN S/N: 2226786)","Temp, °C (LGR S/N: 2252216, SEN S/N: 2229654)","RH, % (LGR S/N: 2252216, SEN S/N: 2229654)"
1,08/23/17 04:00:00  PM,0.0155,17.629,22.369,52.400
2,08/23/17 05:00:00  PM,0.0170,17.653,21.199,54.800
3,08/23/17 06:00:00  PM,0.0163,17.629,21.008,57.800
4,08/23/17 07:00:00  PM,0.0163,17.582,19.817,56.400
5,08/23/17 08:00:00  PM,0.0163,17.510,18.485,58.400
6,08/23/17 09:00:00  PM,0.0163,17.439,17.344,64.000
7,08/23/17 10:00:00  PM,0.0163,17.344,16.487,69.500
8,08/23/17 11:00:00  PM,0.0163,17.249,15.748,73.600
9,08/24/17 12:00:00  AM,0.0163,17.153,14.960,76.400
10,08/24/17 01:00:00  AM,0.0163,17.058,14.098,80.400
11,08/24/17 02:00:00  AM,0.0163,16.939,13.834,82.600
12,08/24/17 03:00:00  AM,0.0163,16.844,13.473,85.000
13,08/24/17 04:00:00  AM,0.0170,16.725,13.064,85.400
14,08/24/17 05:00:00  AM,0.0163,16.630,12.582,87.200
15,08/24/17 06:00:00  AM,0.0163,16.511,12.195,88.300
16,08/24/17 07:00:00  AM,0.0170,16.415,12.025,89.700
17,08/24/17 08:00:00  AM,0.0170,16.296,13.401,89.500
18,08/24/17 09:00:00  AM,0.0170,16.225,14.984,86.300
19,08/24/17 10:00:00  AM,0.0170,16.225,15.939,83.300
20,08/24/17 11:00:00  AM,0.0170,16.249,17.011,80.600
21,08/24/17 12:00:00  PM,0.0163,16.320,17.605,75.400
22,08/24/17 01:00:00  PM,0.0163,16.368,17.153,77.000
23,08/24/17 02:00:00  PM,0.0163,16.392,17.510,80.000
24,08/24/17 03:00:00  PM,0.0155,16.439,18.224,73.400
25,08/24/17 04:00:00  PM,0.0155,16.487,18.985,70.900
26,08/24/17 05:00:00  PM,0.0155,16.511,18.604,68.700
27,08/24/17 06:00:00  PM,0.0155,16.534,18.533,71.300
28,08/24/17 07:00:00  PM,0.0155,16.558,17.272,76.300
29,08/24/17 08:00:00  PM,0.0148,16.558,16.511,79.400
30,08/24/17 09:00:00  PM,0.0155,16.558,16.963,81.100
31,08/24/17 10:00:00  PM,0.0155,16.511,16.129,72.000
32,08/24/17 11:00:00  PM,0.0148,16.463,15.700,72.000
33,08/25/17 12:00:00  AM,0.0155,16.392,14.553,73.200
34,08/25/17 01:00:00  AM,0.0155,16.296,13.064,75.900
35,08/25/17 02:00:00  AM,0.0155,16.201,12.703,79.700
36,08/25/17 03:00:00  AM,0.0155,16.106,11.904,81.800
37,08/25/17 04:00:00  AM,0.0155,15.986,11.637,84.300
38,08/25/17 05:00:00  AM,0.0155,15.843,10.638,85.600
39,08/25/17 06:00:00  AM,0.0155,15.724,10.687,87.200
40,08/25/17 07:00:00  AM,0.0155,15.605,10.467,88.000
41,08/25/17 08:00:00  AM,0.0155,15.485,11.321,88.200
42,08/25/17 09:00:00  AM,0.0155,15.414,13.882,85.200
43,08/25/17 10:00:00  AM,0.0155,15.414,16.129,76.900
44,08/25/17 11:00:00  AM,0.0148,15.485,17.938,61.600
45,08/25/17 12:00:00  PM,0.0148,15.557,18.747,55.100
