"Plot Title: pond"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 2252217, SEN S/N: 2226785, LBL: soiltemp)","Water Content, m³/m³ (LGR S/N: 2252217, SEN S/N: 9866284, LBL: wc_soil)","Temp, °C (LGR S/N: 2252217, SEN S/N: 10197815, LBL: airtemp)","RH, % (LGR S/N: 2252217, SEN S/N: 10197815, LBL: rh)"
1,08/23/17 03:00:00  PM,20.055,0.3438,21.223,62.300
2,08/23/17 04:00:00  PM,20.079,0.3460,22.944,56.700
3,08/23/17 05:00:00  PM,19.984,0.3453,22.130,51.100
4,08/23/17 06:00:00  PM,19.698,0.3453,20.650,55.700
5,08/23/17 07:00:00  PM,19.341,0.3453,19.746,55.600
6,08/23/17 08:00:00  PM,18.961,0.3446,17.843,56.900
7,08/23/17 09:00:00  PM,18.533,0.3409,16.272,64.600
8,08/23/17 10:00:00  PM,18.105,0.3402,15.509,71.500
9,08/23/17 11:00:00  PM,17.724,0.3395,14.697,76.400
10,08/24/17 12:00:00  AM,17.320,0.3402,13.978,80.100
11,08/24/17 01:00:00  AM,16.987,0.3395,13.040,83.400
12,08/24/17 02:00:00  AM,16.630,0.3395,12.703,86.400
13,08/24/17 03:00:00  AM,16.320,0.3388,12.364,88.100
14,08/24/17 04:00:00  AM,16.034,0.3395,12.050,89.900
15,08/24/17 05:00:00  AM,15.772,0.3388,11.686,90.900
16,08/24/17 06:00:00  AM,15.533,0.3388,11.127,91.700
17,08/24/17 07:00:00  AM,15.270,0.3388,11.394,92.700
18,08/24/17 08:00:00  AM,15.079,0.3388,15.724,93.100
19,08/24/17 09:00:00  AM,15.175,0.3395,18.438,83.100
20,08/24/17 10:00:00  AM,15.461,0.3395,17.486,75.200
21,08/24/17 11:00:00  AM,15.891,0.3402,19.103,73.600
22,08/24/17 12:00:00  PM,16.439,0.3409,19.651,68.100
23,08/24/17 01:00:00  PM,16.987,0.3395,19.222,68.700
24,08/24/17 02:00:00  PM,17.415,0.3395,19.888,72.400
25,08/24/17 03:00:00  PM,17.891,0.3395,19.175,65.000
26,08/24/17 04:00:00  PM,18.176,0.3395,20.889,62.600
27,08/24/17 05:00:00  PM,18.271,0.3388,20.746,61.400
28,08/24/17 06:00:00  PM,18.366,0.3388,19.770,63.600
29,08/24/17 07:00:00  PM,18.366,0.3380,17.605,71.400
30,08/24/17 08:00:00  PM,18.176,0.3388,16.558,75.400
31,08/24/17 09:00:00  PM,17.867,0.3380,16.630,80.000
32,08/24/17 10:00:00  PM,17.510,0.3388,16.344,68.700
